tag_number,content,category
0001,Introvert,00
0002,Extrovert,00
0003,Organized,00
0004,Spontaneous,00
0101,ENFJ,01
0102,ENFP,01
0103,ENTJ,01
0104,ENTP,01
0105,ESFJ,01
0106,ESFP,01
0107,ESTJ,01
0108,ESTP,01
0109,INFJ,01
0110,INFP,01
0111,INTJ,01
0112,INTP,01
0113,ISFJ,01
0114,ISFP,01
0115,ISTJ,01
0116,ISTP,01
0201,Kpop,02
0202,Kdrama,02
0203,Pop,02
0204,Band,02
0205,Hiphop,02
0206,Movie,02
0207,Anime,02
0208,Netflix,02
0301,FamousRestaurant,03
0302,Coffeeshop,03
0303,Dessert,03
0304,Chicken,03
0305,Meat,03
0306,Vegan,03
0307,Spicyfood,03
0401,Science,04
0402,Visual Art,04
0403,Business,04
0404,Math,04
0405,Music,04
0406,Technology,04
0501,Sports,05
0502,Weight,05
0503,Crossfit,05
0504,Running,05
0505,Climbing,05
0506,Soccer,05
0507,Basketball,05
0508,Baseball,05
0509,Volleyball,05
0510,Golf,05
0511,OtherSports,05
0512,Sports,05
0601,Games,06
0602,LeagueOfLegends,06
0603,FIFA,06
0604,PCgames,06
0605,ConsoleGames,06
0606,Nintendo,06
0701,Cooking,07
0702,Baking,07
0703,Books,07
0704,Photo,07
0705,Travel,07
0706,Hiking,07
0707,Riding,07
0708,Camping,07
0709,Healing,07
0710,Festival,07
0711,Concert,07
0712,Museum,07
0713,Gallery,07
0714,Karaoke,07
0715,Activity,07
0801,West_Coast,08
0802,East_Coast,08
0803,Mexico,08
0804,Canada,08
0805,South_America,08
0806,Europe,08
0807,Asia,08
0808,Africa,08
0809,Australia,08
0901,Studying_Together,09
0902,Calling,09
0903,Talkative,09
0904,Language_Exchange,09
0905,Pets,09
0906,Dogs,09
0907,Cats,09
